Energy, Data
-8.1249,0
-6.88375,0
-5.64125,0
-4.39739,0
-3.15217,0
-1.9056,0
-0.65767,0
0.591613,0
1.84225,0
3.09425,0
4.3476,0
5.6023,0
6.85836,0
8.11578,0
9.37455,0
10.6347,0
11.8962,0
13.159,2
14.4232,15
15.6887,31
16.9556,42
18.2239,39
19.4935,60
20.7645,79
22.0368,126
23.3105,202
24.5855,329
25.8619,371
27.1397,436
28.4188,388
29.6993,337
30.9811,295
32.2642,228
33.5488,174
34.8347,121
36.1219,92
37.4105,57
38.7004,61
39.9917,50
41.2844,43
42.5784,40
43.8738,50
45.1705,52
46.4686,57
47.768,52
49.0688,51
50.371,64
51.6745,63
52.9794,73
54.2856,60
55.5931,58
56.9021,68
58.2123,60
59.524,65
60.837,71
62.1513,87
63.467,91
64.7841,82
66.1025,113
67.4223,100
68.7434,121
70.0659,140
71.3897,146
72.7149,180
74.0415,184
75.3694,240
76.6986,228
78.0293,255
79.3612,250
80.6946,284
82.0293,248
83.3653,254
84.7027,223
86.0414,241
87.3815,208
88.723,200
90.0658,159
91.41,148
92.7555,121
94.1024,125
95.4506,125
96.8002,109
98.1512,111
99.5035,104
100.857,95
102.212,90
103.569,108
104.926,104
106.285,91
107.646,108
109.008,124
110.371,114
111.735,115
113.101,118
114.468,109
115.837,118
117.207,93
118.578,117
119.951,133
121.325,131
122.7,139
124.077,128
125.455,113
126.834,155
128.215,117
129.597,116
130.981,139
132.365,107
133.752,106
135.139,114
136.528,131
137.918,95
139.31,101
140.703,91
142.097,87
143.493,87
144.89,105
146.288,74
147.688,87
149.089,88
150.492,81
151.896,66
153.301,57
154.707,73
156.115,59
157.524,70
158.935,55
160.347,71
161.76,79
163.175,66
164.591,64
166.008,57
167.427,54
168.847,58
170.269,58
171.691,61
173.115,66
174.541,64
175.968,60
177.396,69
178.826,58
180.257,51
181.689,56
183.122,57
184.557,64
185.994,51
187.432,50
188.871,50
190.311,51
191.753,43
193.196,48
194.64,48
196.086,45
197.533,41
198.982,50
200.432,59
201.883,44
203.336,54
204.79,51
206.245,54
207.702,52
209.16,66
210.619,41
212.08,50
213.542,43
215.005,63
216.47,43
217.936,47
219.404,50
220.873,45
222.343,57
223.815,45
225.288,51
226.762,54
228.238,54
229.715,40
231.193,57
232.673,42
234.154,46
235.636,41
237.12,37
238.605,66
240.092,51
241.58,41
243.069,59
244.559,41
246.051,54
247.545,48
249.039,50
250.535,51
252.033,44
253.531,59
255.031,35
256.533,47
258.036,49
259.54,39
261.045,46
262.552,41
264.06,44
265.57,58
267.081,53
268.593,44
270.106,51
271.621,44
273.138,52
274.655,46
276.174,50
277.695,55
279.217,46
280.74,52
282.264,52
283.79,48
285.317,59
286.846,53
288.376,51
289.907,42
291.439,67
292.973,61
294.509,56
296.045,48
297.583,52
299.123,48
300.663,49
302.206,60
303.749,37
305.294,59
306.84,46
308.387,42
309.936,44
311.487,39
313.038,56
314.591,50
316.145,50
317.701,51
319.258,60
320.816,61
322.376,44
323.937,55
325.499,45
327.063,55
328.628,50
330.195,53
331.763,56
333.332,59
334.902,60
336.474,75
338.048,59
339.622,67
341.198,65
342.776,64
344.354,87
345.934,82
347.516,81
349.098,94
350.682,82
352.268,104
353.855,86
355.443,80
357.033,67
358.623,79
360.216,76
361.809,74
363.404,82
365,61
366.598,58
368.197,66
369.798,67
371.399,53
373.002,49
374.607,62
376.213,45
377.82,48
379.428,43
381.038,39
382.649,31
384.262,52
385.876,39
387.491,27
389.108,36
390.726,28
392.345,36
393.966,25
395.588,33
397.211,33
398.836,25
400.462,30
402.09,39
403.718,28
405.349,24
406.98,20
408.613,29
410.247,24
411.883,22
413.52,21
415.158,22
416.798,13
418.439,12
420.081,18
421.725,24
423.37,29
425.017,17
426.665,25
428.314,24
429.964,25
431.616,26
433.269,30
434.924,37
436.58,27
438.237,22
439.896,23
441.556,17
443.217,33
444.88,16
446.544,18
448.21,27
449.876,19
451.544,24
453.214,8
454.885,17
456.557,11
458.231,23
459.906,22
461.582,20
463.259,25
464.938,18
466.619,21
468.301,27
469.984,13
471.668,16
473.354,23
475.041,22
476.729,26
478.419,16
480.11,18
481.803,21
483.497,23
485.192,25
486.889,26
488.587,20
490.286,21
491.987,14
493.689,26
495.392,20
497.097,22
498.803,25
500.51,24
502.219,28
503.929,24
505.641,26
507.354,14
509.068,27
510.784,20
512.501,17
514.219,17
515.939,20
517.66,21
519.382,19
521.106,21
522.831,20
524.557,35
526.285,24
528.014,22
529.745,27
531.477,20
533.21,28
534.944,19
536.68,30
538.418,21
540.156,21
541.896,23
543.638,20
545.38,22
547.124,26
548.87,20
550.617,25
552.365,21
554.114,23
555.865,23
557.617,24
559.371,31
561.126,29
562.882,23
564.639,29
566.398,31
568.159,27
569.92,31
571.683,19
573.448,24
575.214,22
576.981,20
578.749,27
580.519,24
582.29,25
584.063,18
585.837,26
587.612,19
589.388,18
591.166,26
592.946,20
594.726,30
596.508,14
598.292,12
600.076,21
601.863,15
603.65,23
605.439,20
607.229,16
609.02,17
610.813,29
612.608,25
614.403,15
616.2,17
617.998,14
619.798,25
621.599,26
623.401,30
625.205,15
627.01,22
628.816,23
630.624,12
632.433,23
634.244,19
636.056,25
637.869,18
639.683,14
641.499,17
643.317,25
645.135,19
646.955,25
648.777,16
650.599,19
652.423,19
654.249,21
656.075,21
657.904,17
659.733,17
661.564,19
663.396,26
665.229,15
667.064,19
668.901,14
670.738,10
672.577,19
674.417,18
676.259,18
678.102,20
679.947,18
681.792,18
683.639,13
685.488,12
687.338,20
689.189,24
691.041,25
692.895,9
694.75,15
696.607,21
698.465,17
700.324,15
702.185,19
704.047,12
705.91,10
707.775,10
709.641,14
711.508,14
713.377,14
715.247,6
717.119,13
718.991,25
720.866,23
722.741,14
724.618,19
726.496,12
728.376,16
730.257,10
732.139,8
734.023,13
735.908,9
737.794,12
739.682,17
741.571,9
743.462,16
745.354,14
747.247,10
749.141,9
751.037,10
752.934,12
754.833,14
756.733,10
758.634,10
760.537,13
762.441,14
764.346,11
766.253,17
768.161,17
770.071,12
771.981,6
773.893,12
775.807,14
777.722,16
779.638,16
781.556,13
783.475,20
785.395,9
787.316,15
789.24,11
791.164,16
793.09,17
795.017,12
796.945,13
798.875,15
800.806,13
802.738,16
804.672,16
806.607,15
808.544,15
810.482,17
812.421,10
814.362,12
816.304,12
818.247,13
820.192,13
822.138,9
824.085,12
826.034,7
827.984,12
829.936,13
831.888,10
833.842,14
835.798,10
837.755,14
839.713,13
841.673,8
843.634,12
845.596,13
847.56,11
849.525,11
851.491,8
853.459,14
855.428,13
857.398,5
859.37,11
861.343,8
863.318,14
865.294,8
867.271,11
869.249,14
871.229,8
873.211,9
875.193,9
877.177,10
879.163,14
881.149,5
883.137,10
885.127,10
887.117,10
889.11,10
891.103,16
893.098,11
895.094,11
897.092,17
899.091,19
901.091,8
903.093,10
905.096,11
907.1,18
909.105,8
911.113,13
913.121,10
915.131,8
917.142,15
919.154,13
921.168,18
923.183,12
925.2,11
927.218,13
929.237,12
931.257,11
933.279,16
935.303,15
937.327,13
939.353,7
941.381,12
943.409,12
945.44,13
947.471,10
949.504,6
951.538,15
953.573,10
955.61,15
957.649,10
959.688,12
961.729,13
963.771,9
965.815,12
967.86,18
969.906,11
971.954,12
974.003,15
976.054,10
978.105,10
980.158,7
982.213,11
984.269,7
986.326,8
988.384,6
990.444,11
992.506,8
994.568,10
996.632,11
998.698,5
1000.76,7
1002.83,7
1004.9,7
1006.97,14
1009.04,10
1011.12,10
1013.19,16
1015.27,10
1017.35,11
1019.43,16
1021.51,13
1023.59,10
1025.67,10
1027.75,13
1029.84,14
1031.93,12
1034.02,11
1036.11,8
1038.2,10
1040.29,15
1042.38,11
1044.48,8
1046.57,13
1048.67,15
1050.77,9
1052.87,13
1054.97,10
1057.08,10
1059.18,5
1061.29,14
1063.4,8
1065.5,11
1067.61,14
1069.73,14
1071.84,11
1073.95,9
1076.07,10
1078.18,11
1080.3,11
1082.42,7
1084.54,7
1086.67,10
1088.79,13
1090.91,3
1093.04,15
1095.17,8
1097.3,9
1099.43,6
1101.56,10
1103.69,11
1105.83,12
1107.96,14
1110.1,10
1112.24,5
1114.38,10
1116.52,9
1118.66,9
1120.81,10
1122.95,7
1125.1,14
1127.25,12
1129.4,10
1131.55,12
1133.7,8
1135.85,13
1138.01,17
1140.16,9
1142.32,11
1144.48,5
1146.64,11
1148.8,10
1150.96,12
1153.13,12
1155.29,12
1157.46,6
1159.63,9
1161.8,7
1163.97,2
1166.14,6
1168.32,7
1170.49,10
1172.67,8
1174.85,9
1177.02,6
1179.2,6
1181.39,7
1183.57,4
1185.75,5
1187.94,7
1190.13,8
1192.32,6
1194.51,6
1196.7,7
1198.89,11
1201.08,13
1203.28,11
1205.48,2
1207.68,10
1209.88,8
1212.08,8
1214.28,12
1216.48,7
1218.69,3
1220.89,9
1223.1,3
1225.31,10
1227.52,5
1229.73,5
1231.94,11
1234.16,8
1236.38,12
1238.59,6
1240.81,5
1243.03,5
1245.25,6
1247.47,10
1249.7,6
1251.92,7
1254.15,10
1256.38,9
1258.61,9
1260.84,5
1263.07,8
1265.3,7
1267.54,11
1269.77,3
1272.01,11
1274.25,10
1276.49,5
1278.73,10
1280.98,7
1283.22,6
1285.47,8
1287.71,8
1289.96,5
1292.21,6
1294.46,7
1296.71,6
1298.97,5
1301.22,3
1303.48,5
1305.74,3
1308,6
1310.26,6
1312.52,8
1314.78,4
1317.05,7
1319.31,6
1321.58,7
1323.85,4
1326.12,6
1328.39,5
1330.66,3
1332.94,7
1335.21,6
1337.49,4
1339.77,4
1342.05,6
1344.33,11
1346.61,10
1348.89,5
1351.18,9
1353.46,4
1355.75,3
1358.04,9
1360.33,7
1362.62,3
1364.92,6
1367.21,10
1369.51,7
1371.8,7
1374.1,6
1376.4,8
1378.7,3
1381.01,4
1383.31,4
1385.61,7
1387.92,6
1390.23,7
1392.54,8
1394.85,11
1397.16,9
1399.47,4
1401.79,6
1404.11,10
1406.42,9
1408.74,7
1411.06,5
1413.38,4
1415.71,18
1418.03,10
1420.36,16
1422.68,11
1425.01,5
1427.34,13
1429.67,13
1432,14
1434.34,8
1436.67,11
1439.01,7
1441.35,8
1443.69,12
1446.03,9
1448.37,8
1450.71,10
1453.06,10
1455.4,12
1457.75,11
1460.1,8
1462.45,12
1464.8,12
1467.15,12
1469.51,15
1471.86,15
1474.22,6
1476.58,10
1478.94,16
1481.3,5
1483.66,12
1486.02,8
1488.39,8
1490.75,7
1493.12,10
1495.49,7
1497.86,7
1500.23,9
1502.61,13
1504.98,9
1507.36,7
1509.73,7
1512.11,13
1514.49,11
1516.87,7
1519.26,6
1521.64,5
1524.02,7
1526.41,10
1528.8,4
1531.19,1
1533.58,5
1535.97,3
1538.36,5
1540.76,9
1543.16,8
1545.55,5
1547.95,9
1550.35,6
1552.75,9
1555.16,7
1557.56,7
1559.97,9
1562.37,8
1564.78,6
1567.19,4
1569.6,3
1572.01,6
1574.43,4
1576.84,9
1579.26,5
1581.68,7
1584.1,2
1586.52,7
1588.94,2
1591.36,8
1593.79,12
1596.21,1
1598.64,7
1601.07,6
1603.5,5
1605.93,5
1608.36,7
1610.8,4
1613.23,6
1615.67,3
1618.11,3
1620.55,7
1622.99,2
1625.43,6
1627.87,3
1630.32,3
1632.76,7
1635.21,6
1637.66,4
1640.11,2
1642.56,3
1645.01,1
1647.47,3
1649.92,5
1652.38,4
1654.84,5
1657.3,3
1659.76,1
1662.22,3
1664.69,1
1667.15,3
1669.62,5
1672.09,3
1674.56,4
1677.03,3
1679.5,2
1681.97,2
1684.45,6
1686.92,0
1689.4,0
1691.88,3
1694.36,4
1696.84,5
1699.32,3
1701.81,2
1704.29,2
1706.78,1
1709.27,3
1711.76,1
1714.25,4
1716.74,2
1719.24,1
1721.73,5
1724.23,2
1726.72,0
1729.22,3
1731.72,3
1734.23,2
1736.73,1
1739.23,3
1741.74,3
1744.25,2
1746.76,7
1749.27,2
1751.78,1
1754.29,0
1756.8,3
1759.32,5
1761.84,2
1764.35,2
1766.87,3
1769.39,2
1771.92,1
1774.44,1
1776.96,9
1779.49,3
1782.02,3
1784.55,5
1787.08,2
1789.61,6
1792.14,2
1794.68,4
1797.21,2
1799.75,2
1802.29,4
1804.83,1
1807.37,4
1809.91,2
1812.45,3
1815,0
1817.55,1
1820.09,3
1822.64,3
1825.19,3
1827.75,2
1830.3,2
1832.85,1
1835.41,3
1837.97,1
1840.53,0
1843.09,1
1845.65,4
1848.21,2
1850.78,2
1853.34,3
1855.91,5
1858.48,1
1861.05,3
1863.62,1
1866.19,3
1868.76,3
1871.34,0
1873.91,3
1876.49,0
1879.07,1
1881.65,2
1884.23,1
1886.82,3
1889.4,4
1891.99,3
1894.57,3
1897.16,1
1899.75,2
1902.34,4
1904.94,0
1907.53,1
1910.13,2
1912.72,0
1915.32,1
1917.92,2
1920.52,1
1923.12,1
1925.73,1
1928.33,2
1930.94,1
1933.54,2
1936.15,2
1938.76,2
1941.38,2
1943.99,2
1946.6,4
1949.22,2
1951.84,1
1954.45,4
1957.07,0
1959.69,2
1962.32,4
1964.94,4
1967.57,4
1970.19,3
1972.82,1
1975.45,0
1978.08,0
1980.71,4
1983.35,3
1985.98,2
1988.62,0
1991.25,2
1993.89,3
1996.53,2
1999.17,2
2001.82,2
2004.46,1
2007.11,2
2009.75,1
2012.4,2
2015.05,1
2017.7,2
2020.35,2
2023.01,0
2025.66,2
2028.32,1
2030.98,0
2033.64,0
2036.3,0
2038.96,2
2041.62,2
2044.29,3
2046.95,2
2049.62,3
2052.29,2
2054.96,3
2057.63,2
2060.3,1
2062.97,2
2065.65,1
2068.33,2
2071,3
2073.68,2
2076.36,2
2079.05,0
2081.73,2
2084.42,2
2087.1,2
2089.79,2
2092.48,2
2095.17,2
2097.86,1
2100.55,1
2103.25,1
2105.94,2
2108.64,1
2111.34,1
2114.04,1
2116.74,1
2119.44,2
2122.15,0
2124.85,3
2127.56,2
2130.26,0
2132.97,0
2135.68,2
2138.4,0
2141.11,1
2143.82,1
2146.54,1
2149.26,0
2151.98,3
2154.7,1
2157.42,2
2160.14,3
2162.86,2
2165.59,2
2168.32,5
2171.05,2
2173.77,0
2176.51,1
2179.24,1
2181.97,1
2184.71,0
2187.44,2
2190.18,1
2192.92,1
2195.66,1
2198.4,1
2201.15,0
2203.89,2
2206.64,3
2209.38,1
2212.13,0
2214.88,2
2217.63,6
2220.38,3
2223.14,0
2225.89,2
2228.65,1
2231.41,2
2234.17,3
2236.93,4
2239.69,0
2242.45,0
2245.22,2
2247.99,4
2250.75,2
2253.52,3
2256.29,0
2259.06,1
2261.84,2
2264.61,1
2267.39,2
2270.16,2
2272.94,2
2275.72,3
2278.5,2
2281.28,1
2284.07,5
2286.85,1
2289.64,1
2292.43,1
2295.22,0
2298.01,1
2300.8,3
2303.59,0
2306.39,2
2309.18,0
2311.98,1
2314.78,3
2317.58,0
2320.38,1
2323.18,2
2325.99,0
2328.79,1
2331.6,2
2334.41,1
2337.22,0
2340.03,4
2342.84,0
2345.65,0
2348.47,1
2351.29,3
2354.1,0
2356.92,0
2359.74,3
2362.56,1
2365.39,0
2368.21,1
2371.04,0
2373.86,2
2376.69,1
2379.52,0
2382.35,4
2385.19,0
2388.02,0
2390.86,1
2393.69,0
2396.53,1
2399.37,1
2402.21,2
2405.05,2
2407.9,0
2410.74,1
2413.59,1
2416.43,2
2419.28,0
2422.13,2
2424.99,0
2427.84,0
2430.69,4
2433.55,1
2436.41,1
2439.26,0
2442.12,1
2444.98,1
2447.85,0
2450.71,3
2453.58,2
2456.44,0
2459.31,1
2462.18,1
2465.05,1
2467.92,2
2470.79,0
2473.67,2
2476.55,1
2479.42,2
2482.3,1
2485.18,2
2488.06,3
2490.95,1
2493.83,1
2496.71,1
2499.6,2
2502.49,4
2505.38,3
2508.27,0
2511.16,1
2514.06,1
2516.95,0
2519.85,1
2522.74,0
2525.64,0
2528.54,3
2531.45,4
2534.35,1
2537.25,1
2540.16,0
2543.07,0
2545.97,0
2548.88,0
2551.8,0
2554.71,0
2557.62,1
2560.54,3
2563.45,0
2566.37,1
2569.29,4
2572.21,0
2575.13,1
2578.06,0
2580.98,1
2583.91,1
2586.84,2
2589.76,0
2592.69,2
2595.63,4
2598.56,0
2601.49,2
2604.43,1
2607.37,2
2610.3,1
2613.24,2
2616.19,2
2619.13,0
2622.07,2
2625.02,2
2627.96,0
2630.91,2
2633.86,0
2636.81,0
2639.76,1
2642.71,2
2645.67,4
2648.63,2
2651.58,1
2654.54,1
2657.5,0
2660.46,1
2663.43,2
2666.39,4
2669.35,1
2672.32,2
2675.29,0
2678.26,0
2681.23,0
2684.2,0
2687.18,0
2690.15,0
2693.13,1
2696.1,0
2699.08,1
2702.06,3
2705.05,2
2708.03,0
2711.01,1
2714,1
2716.99,1
2719.97,0
2722.96,1
2725.96,0
2728.95,2
2731.94,1
2734.94,2
2737.93,0
2740.93,2
2743.93,2
2746.93,2
2749.93,0
2752.94,1
2755.94,1
2758.95,0
2761.96,1
2764.96,0
2767.97,1
2770.99,1
2774,1
2777.01,1
2780.03,0
2783.05,0
2786.06,0
2789.08,0
2792.1,0
2795.13,2
2798.15,1
2801.18,0
2804.2,0
2807.23,0
2810.26,1
2813.29,1
2816.32,1
2819.35,2
2822.39,0
2825.42,1
2828.46,1
2831.5,0
2834.54,1
2837.58,1
2840.62,0
2843.67,0
2846.71,0
2849.76,0
2852.81,0
2855.86,0
2858.91,0
2861.96,2
2865.01,0
2868.07,0
2871.13,0
2874.18,0
2877.24,0
2880.3,0
2883.36,0
2886.43,1
2889.49,1
2892.56,0
2895.62,0
2898.69,0
2901.76,0
2904.83,1
2907.91,1
2910.98,0
2914.06,0
2917.13,0
2920.21,0
2923.29,0
2926.37,0
2929.45,1
2932.54,0
2935.62,0
2938.71,0
2941.79,1
2944.88,0
2947.97,0
2951.06,0
2954.16,0
2957.25,0
2960.35,0
2963.44,0
2966.54,0
2969.64,0
2972.74,0
2975.84,1
2978.95,0
2982.05,0
2985.16,0
2988.27,1
2991.38,0
2994.49,0
2997.6,0
3000.71,0
3003.83,0
3006.94,0
3010.06,1
3013.18,0
3016.3,0
3019.42,1
3022.54,0
3025.67,1
3028.79,0
3031.92,0
3035.05,0
3038.18,0
3041.31,1
3044.44,0
3047.57,0
3050.71,0
3053.84,1
3056.98,0
3060.12,0
3063.26,0
3066.4,1
3069.54,0
3072.69,0
3075.83,0
3078.98,0
3082.13,0
3085.28,0
3088.43,0
3091.58,1
3094.74,0
3097.89,0
3101.05,0
3104.21,0
3107.37,0
3110.53,0
3113.69,0
3116.85,0
3120.02,0
3123.18,0
3126.35,0
3129.52,0
3132.69,0
3135.86,1
3139.03,0
3142.21,0
3145.38,0
3148.56,0
3151.74,0
3154.92,0
3158.1,0
3161.28,0
3164.46,0
3167.65,2
3170.84,1
3174.02,1
3177.21,0
3180.4,1
3183.6,0
3186.79,1
3189.98,0
3193.18,0
3196.38,0
3199.57,1
3202.77,0
3205.98,0
3209.18,0
3212.38,0
3215.59,0
3218.79,0
3222,0
3225.21,1
3228.42,0
3231.64,0
3234.85,0
3238.06,0
3241.28,0
3244.5,0
3247.72,0
3250.94,1
3254.16,0
3257.38,0
3260.6,0
3263.83,0
3267.06,0
3270.29,0
3273.52,0
3276.75,0
3279.98,1
3283.21,0
3286.45,1
3289.69,0
3292.92,0
3296.16,0
3299.4,0
3302.64,1
3305.89,0
3309.13,0
3312.38,0
