Energy, Data
-8.1249,0
-6.88375,0
-5.64125,0
-4.39739,0
-3.15217,0
-1.9056,0
-0.65767,0
0.591613,0
1.84225,0
3.09425,0
4.3476,0
5.6023,0
6.85836,0
8.11578,0
9.37455,1
10.6347,0
11.8962,0
13.159,6
14.4232,156
15.6887,178
16.9556,179
18.2239,199
19.4935,210
20.7645,306
22.0368,396
23.3105,536
24.5855,869
25.8619,1146
27.1397,1410
28.4188,1686
29.6993,1657
30.9811,1531
32.2642,1276
33.5488,1092
34.8347,771
36.1219,583
37.4105,443
38.7004,360
39.9917,296
41.2844,296
42.5784,261
43.8738,222
45.1705,268
46.4686,245
47.768,214
49.0688,237
50.371,234
51.6745,242
52.9794,238
54.2856,250
55.5931,238
56.9021,231
58.2123,257
59.524,273
60.837,244
62.1513,281
63.467,277
64.7841,303
66.1025,333
67.4223,323
68.7434,367
70.0659,403
71.3897,472
72.7149,504
74.0415,493
75.3694,552
76.6986,531
78.0293,578
79.3612,585
80.6946,498
82.0293,539
83.3653,510
84.7027,474
86.0414,496
87.3815,473
88.723,431
90.0658,393
91.41,396
92.7555,372
94.1024,340
95.4506,362
96.8002,334
98.1512,344
99.5035,325
100.857,335
102.212,315
103.569,325
104.926,309
106.285,318
107.646,321
109.008,354
110.371,324
111.735,325
113.101,335
114.468,335
115.837,322
117.207,337
118.578,348
119.951,335
121.325,322
122.7,363
124.077,359
125.455,377
126.834,334
128.215,343
129.597,345
130.981,329
132.365,375
133.752,360
135.139,352
136.528,321
137.918,356
139.31,358
140.703,302
142.097,351
143.493,310
144.89,343
146.288,360
147.688,322
149.089,352
150.492,329
151.896,314
153.301,298
154.707,342
156.115,317
157.524,317
158.935,301
160.347,319
161.76,312
163.175,289
164.591,306
166.008,312
167.427,343
168.847,338
170.269,303
171.691,338
173.115,330
174.541,320
175.968,348
177.396,390
178.826,369
180.257,345
181.689,402
183.122,376
184.557,412
185.994,360
187.432,417
188.871,448
190.311,439
191.753,444
193.196,404
194.64,415
196.086,458
197.533,432
198.982,424
200.432,416
201.883,426
203.336,429
204.79,414
206.245,433
207.702,431
209.16,482
210.619,417
212.08,411
213.542,454
215.005,418
216.47,423
217.936,404
219.404,430
220.873,376
222.343,438
223.815,405
225.288,420
226.762,394
228.238,400
229.715,408
231.193,448
232.673,390
234.154,407
235.636,412
237.12,378
238.605,379
240.092,374
241.58,397
243.069,364
244.559,376
246.051,340
247.545,393
249.039,377
250.535,353
252.033,386
253.531,343
255.031,363
256.533,362
258.036,357
259.54,389
261.045,350
262.552,349
264.06,385
265.57,394
267.081,388
268.593,412
270.106,353
271.621,361
273.138,343
274.655,332
276.174,339
277.695,313
279.217,324
280.74,383
282.264,394
283.79,309
285.317,330
286.846,332
288.376,337
289.907,348
291.439,338
292.973,350
294.509,326
296.045,340
297.583,332
299.123,327
300.663,341
302.206,310
303.749,320
305.294,336
306.84,315
308.387,314
309.936,370
311.487,316
313.038,327
314.591,324
316.145,304
317.701,301
319.258,335
320.816,315
322.376,300
323.937,318
325.499,320
327.063,313
328.628,340
330.195,315
331.763,305
333.332,306
334.902,321
336.474,328
338.048,328
339.622,334
341.198,297
342.776,332
344.354,313
345.934,310
347.516,332
349.098,319
350.682,287
352.268,325
353.855,313
355.443,308
357.033,291
358.623,305
360.216,311
361.809,301
363.404,308
365,345
366.598,327
368.197,283
369.798,321
371.399,310
373.002,311
374.607,320
376.213,313
377.82,300
379.428,342
381.038,324
382.649,318
384.262,309
385.876,344
387.491,313
389.108,327
390.726,333
392.345,302
393.966,313
395.588,316
397.211,334
398.836,336
400.462,296
402.09,345
403.718,353
405.349,333
406.98,343
408.613,350
410.247,306
411.883,353
413.52,362
415.158,330
416.798,328
418.439,316
420.081,365
421.725,339
423.37,346
425.017,325
426.665,344
428.314,312
429.964,320
431.616,303
433.269,329
434.924,319
436.58,336
438.237,322
439.896,312
441.556,315
443.217,290
444.88,312
446.544,302
448.21,275
449.876,291
451.544,270
453.214,268
454.885,253
456.557,264
458.231,239
459.906,216
461.582,179
463.259,202
464.938,210
466.619,196
468.301,202
469.984,201
471.668,205
473.354,205
475.041,169
476.729,164
478.419,182
480.11,174
481.803,183
483.497,164
485.192,185
486.889,172
488.587,190
490.286,145
491.987,151
493.689,139
495.392,156
497.097,138
498.803,152
500.51,148
502.219,118
503.929,152
505.641,138
507.354,118
509.068,139
510.784,128
512.501,144
514.219,131
515.939,122
517.66,125
519.382,114
521.106,122
522.831,109
524.557,123
526.285,86
528.014,117
529.745,111
531.477,104
533.21,120
534.944,106
536.68,103
538.418,99
540.156,101
541.896,93
543.638,104
545.38,104
547.124,112
548.87,108
550.617,100
552.365,105
554.114,110
555.865,110
557.617,88
559.371,91
561.126,93
562.882,85
564.639,91
566.398,99
568.159,117
569.92,96
571.683,94
573.448,100
575.214,98
576.981,83
578.749,82
580.519,91
582.29,96
584.063,112
585.837,119
587.612,111
589.388,112
591.166,105
592.946,141
594.726,131
596.508,149
598.292,167
600.076,203
601.863,203
603.65,240
605.439,262
607.229,305
609.02,334
610.813,355
612.608,430
614.403,492
616.2,516
617.998,555
619.798,621
621.599,688
623.401,765
625.205,906
627.01,896
628.816,941
630.624,1080
632.433,1157
634.244,1296
636.056,1331
637.869,1351
639.683,1471
641.499,1482
643.317,1590
645.135,1587
646.955,1684
648.777,1661
650.599,1694
652.423,1763
654.249,1772
656.075,1861
657.904,1736
659.733,1742
661.564,1824
663.396,1781
665.229,1729
667.064,1658
668.901,1698
670.738,1580
672.577,1597
674.417,1500
676.259,1439
678.102,1347
679.947,1296
681.792,1262
683.639,1267
685.488,1202
687.338,1103
689.189,1111
691.041,1001
692.895,1012
694.75,893
696.607,873
698.465,820
700.324,818
702.185,715
704.047,666
705.91,627
707.775,564
709.641,592
711.508,553
713.377,522
715.247,466
717.119,413
718.991,452
720.866,449
722.741,384
724.618,398
726.496,335
728.376,300
730.257,297
732.139,267
734.023,248
735.908,259
737.794,203
739.682,200
741.571,193
743.462,167
745.354,186
747.247,145
749.141,149
751.037,136
752.934,113
754.833,107
756.733,104
758.634,91
760.537,75
762.441,81
764.346,67
766.253,54
768.161,57
770.071,50
771.981,55
773.893,36
775.807,37
777.722,23
779.638,25
781.556,34
783.475,30
785.395,18
787.316,29
789.24,26
791.164,14
793.09,21
795.017,14
796.945,14
798.875,17
800.806,18
802.738,12
804.672,15
806.607,7
808.544,14
810.482,13
812.421,16
814.362,15
816.304,13
818.247,18
820.192,14
822.138,7
824.085,10
826.034,6
827.984,11
829.936,11
831.888,14
833.842,17
835.798,12
837.755,10
839.713,9
841.673,10
843.634,12
845.596,12
847.56,7
849.525,11
851.491,18
853.459,12
855.428,9
857.398,12
859.37,16
861.343,13
863.318,14
865.294,5
867.271,12
869.249,10
871.229,10
873.211,11
875.193,19
877.177,13
879.163,9
881.149,16
883.137,15
885.127,16
887.117,19
889.11,6
891.103,7
893.098,11
895.094,18
897.092,12
899.091,14
901.091,11
903.093,10
905.096,11
907.1,13
909.105,11
911.113,14
913.121,8
915.131,11
917.142,6
919.154,15
921.168,12
923.183,8
925.2,13
927.218,15
929.237,8
931.257,13
933.279,11
935.303,13
937.327,15
939.353,7
941.381,8
943.409,10
945.44,10
947.471,14
949.504,9
951.538,10
953.573,7
955.61,8
957.649,5
959.688,16
961.729,6
963.771,7
965.815,7
967.86,13
969.906,10
971.954,7
974.003,10
976.054,10
978.105,3
980.158,13
982.213,11
984.269,14
986.326,9
988.384,15
990.444,11
992.506,8
994.568,7
996.632,16
998.698,5
1000.76,10
1002.83,9
1004.9,12
1006.97,16
1009.04,6
1011.12,7
1013.19,11
1015.27,11
1017.35,8
1019.43,8
1021.51,14
1023.59,10
1025.67,16
1027.75,13
1029.84,9
1031.93,11
1034.02,10
1036.11,9
1038.2,7
1040.29,14
1042.38,14
1044.48,7
1046.57,11
1048.67,10
1050.77,7
1052.87,11
1054.97,8
1057.08,12
1059.18,12
1061.29,17
1063.4,12
1065.5,14
1067.61,10
1069.73,13
1071.84,13
1073.95,12
1076.07,19
1078.18,14
1080.3,12
1082.42,12
1084.54,19
1086.67,12
1088.79,7
1090.91,10
1093.04,10
1095.17,8
1097.3,10
1099.43,12
1101.56,9
1103.69,10
1105.83,7
1107.96,7
1110.1,11
1112.24,14
1114.38,11
1116.52,13
1118.66,10
1120.81,10
1122.95,18
1125.1,14
1127.25,11
1129.4,9
1131.55,6
1133.7,9
1135.85,12
1138.01,13
1140.16,5
1142.32,10
1144.48,14
1146.64,13
1148.8,14
1150.96,12
1153.13,13
1155.29,8
1157.46,10
1159.63,5
1161.8,8
1163.97,11
1166.14,7
1168.32,8
1170.49,8
1172.67,7
1174.85,15
1177.02,12
1179.2,9
1181.39,7
1183.57,9
1185.75,9
1187.94,13
1190.13,6
1192.32,6
1194.51,12
1196.7,9
1198.89,13
1201.08,7
1203.28,16
1205.48,8
1207.68,9
1209.88,8
1212.08,7
1214.28,4
1216.48,12
1218.69,10
1220.89,11
1223.1,5
1225.31,7
1227.52,12
1229.73,4
1231.94,7
1234.16,8
1236.38,7
1238.59,6
1240.81,10
1243.03,9
1245.25,6
1247.47,3
1249.7,6
1251.92,5
1254.15,11
1256.38,3
1258.61,4
1260.84,3
1263.07,10
1265.3,9
1267.54,9
1269.77,5
1272.01,10
1274.25,5
1276.49,4
1278.73,5
1280.98,7
1283.22,3
1285.47,10
1287.71,9
1289.96,6
1292.21,7
1294.46,11
1296.71,10
1298.97,9
1301.22,7
1303.48,9
1305.74,7
1308,4
1310.26,3
1312.52,6
1314.78,5
1317.05,4
1319.31,7
1321.58,5
1323.85,11
1326.12,7
1328.39,5
1330.66,5
1332.94,4
1335.21,7
1337.49,12
1339.77,2
1342.05,5
1344.33,3
1346.61,10
1348.89,3
1351.18,8
1353.46,6
1355.75,8
1358.04,4
1360.33,6
1362.62,3
1364.92,7
1367.21,11
1369.51,5
1371.8,5
1374.1,8
1376.4,12
1378.7,6
1381.01,3
1383.31,3
1385.61,6
1387.92,3
1390.23,10
1392.54,7
1394.85,7
1397.16,2
1399.47,5
1401.79,3
1404.11,6
1406.42,7
1408.74,6
1411.06,9
1413.38,6
1415.71,9
1418.03,7
1420.36,2
1422.68,4
1425.01,8
1427.34,9
1429.67,8
1432,7
1434.34,8
1436.67,14
1439.01,10
1441.35,7
1443.69,8
1446.03,11
1448.37,9
1450.71,7
1453.06,13
1455.4,10
1457.75,9
1460.1,2
1462.45,13
1464.8,8
1467.15,9
1469.51,12
1471.86,7
1474.22,9
1476.58,7
1478.94,10
1481.3,6
1483.66,9
1486.02,12
1488.39,8
1490.75,14
1493.12,8
1495.49,9
1497.86,6
1500.23,11
1502.61,12
1504.98,6
1507.36,8
1509.73,5
1512.11,11
1514.49,7
1516.87,13
1519.26,10
1521.64,7
1524.02,5
1526.41,6
1528.8,10
1531.19,6
1533.58,9
1535.97,15
1538.36,6
1540.76,11
1543.16,11
1545.55,7
1547.95,5
1550.35,9
1552.75,5
1555.16,6
1557.56,6
1559.97,1
1562.37,5
1564.78,6
1567.19,7
1569.6,3
1572.01,3
1574.43,11
1576.84,5
1579.26,9
1581.68,4
1584.1,3
1586.52,9
1588.94,8
1591.36,10
1593.79,2
1596.21,7
1598.64,2
1601.07,5
1603.5,4
1605.93,6
1608.36,6
1610.8,4
1613.23,11
1615.67,5
1618.11,3
1620.55,6
1622.99,2
1625.43,4
1627.87,6
1630.32,3
1632.76,6
1635.21,2
1637.66,2
1640.11,5
1642.56,5
1645.01,4
1647.47,4
1649.92,4
1652.38,3
1654.84,2
1657.3,4
1659.76,5
1662.22,3
1664.69,3
1667.15,6
1669.62,4
1672.09,4
1674.56,3
1677.03,2
1679.5,2
1681.97,1
1684.45,2
1686.92,2
1689.4,4
1691.88,1
1694.36,0
1696.84,3
1699.32,3
1701.81,4
1704.29,0
1706.78,2
1709.27,2
1711.76,6
1714.25,2
1716.74,4
1719.24,3
1721.73,4
1724.23,1
1726.72,3
1729.22,1
1731.72,3
1734.23,2
1736.73,1
1739.23,1
1741.74,8
1744.25,4
1746.76,2
1749.27,4
1751.78,2
1754.29,3
1756.8,3
1759.32,0
1761.84,2
1764.35,1
1766.87,3
1769.39,4
1771.92,2
1774.44,2
1776.96,3
1779.49,4
1782.02,4
1784.55,1
1787.08,3
1789.61,6
1792.14,4
1794.68,2
1797.21,3
1799.75,2
1802.29,2
1804.83,1
1807.37,2
1809.91,2
1812.45,2
1815,3
1817.55,1
1820.09,2
1822.64,3
1825.19,1
1827.75,3
1830.3,5
1832.85,2
1835.41,3
1837.97,0
1840.53,0
1843.09,3
1845.65,2
1848.21,1
1850.78,2
1853.34,0
1855.91,3
1858.48,3
1861.05,2
1863.62,0
1866.19,3
1868.76,3
1871.34,4
1873.91,1
1876.49,1
1879.07,8
1881.65,5
1884.23,4
1886.82,1
1889.4,5
1891.99,3
1894.57,1
1897.16,1
1899.75,1
1902.34,6
1904.94,1
1907.53,2
1910.13,4
1912.72,1
1915.32,4
1917.92,2
1920.52,2
1923.12,2
1925.73,1
1928.33,6
1930.94,0
1933.54,4
1936.15,0
1938.76,1
1941.38,2
1943.99,1
1946.6,3
1949.22,2
1951.84,1
1954.45,2
1957.07,3
1959.69,2
1962.32,2
1964.94,2
1967.57,3
1970.19,2
1972.82,0
1975.45,1
1978.08,3
1980.71,1
1983.35,0
1985.98,4
1988.62,1
1991.25,5
1993.89,1
1996.53,2
1999.17,1
2001.82,1
2004.46,4
2007.11,1
2009.75,1
2012.4,2
2015.05,3
2017.7,2
2020.35,3
2023.01,2
2025.66,1
2028.32,4
2030.98,0
2033.64,4
2036.3,0
2038.96,2
2041.62,1
2044.29,2
2046.95,2
2049.62,1
2052.29,2
2054.96,3
2057.63,1
2060.3,1
2062.97,2
2065.65,2
2068.33,4
2071,0
2073.68,1
2076.36,2
2079.05,2
2081.73,1
2084.42,0
2087.1,4
2089.79,3
2092.48,2
2095.17,3
2097.86,5
2100.55,3
2103.25,3
2105.94,0
2108.64,0
2111.34,2
2114.04,3
2116.74,2
2119.44,1
2122.15,1
2124.85,0
2127.56,3
2130.26,2
2132.97,4
2135.68,0
2138.4,1
2141.11,1
2143.82,1
2146.54,1
2149.26,4
2151.98,3
2154.7,0
2157.42,3
2160.14,2
2162.86,7
2165.59,4
2168.32,0
2171.05,3
2173.77,3
2176.51,1
2179.24,5
2181.97,5
2184.71,0
2187.44,1
2190.18,0
2192.92,2
2195.66,1
2198.4,1
2201.15,2
2203.89,1
2206.64,4
2209.38,0
2212.13,0
2214.88,0
2217.63,0
2220.38,4
2223.14,3
2225.89,4
2228.65,1
2231.41,3
2234.17,2
2236.93,4
2239.69,2
2242.45,1
2245.22,1
2247.99,2
2250.75,6
2253.52,0
2256.29,0
2259.06,1
2261.84,1
2264.61,1
2267.39,2
2270.16,1
2272.94,0
2275.72,2
2278.5,1
2281.28,3
2284.07,1
2286.85,1
2289.64,1
2292.43,1
2295.22,0
2298.01,1
2300.8,0
2303.59,3
2306.39,3
2309.18,2
2311.98,2
2314.78,1
2317.58,1
2320.38,0
2323.18,6
2325.99,2
2328.79,2
2331.6,2
2334.41,1
2337.22,1
2340.03,0
2342.84,2
2345.65,2
2348.47,3
2351.29,1
2354.1,3
2356.92,0
2359.74,2
2362.56,2
2365.39,1
2368.21,2
2371.04,0
2373.86,5
2376.69,0
2379.52,1
2382.35,0
2385.19,2
2388.02,2
2390.86,0
2393.69,1
2396.53,0
2399.37,3
2402.21,0
2405.05,2
2407.9,1
2410.74,0
2413.59,1
2416.43,1
2419.28,0
2422.13,2
2424.99,0
2427.84,0
2430.69,1
2433.55,1
2436.41,2
2439.26,1
2442.12,0
2444.98,0
2447.85,0
2450.71,2
2453.58,3
2456.44,0
2459.31,0
2462.18,1
2465.05,0
2467.92,3
2470.79,1
2473.67,2
2476.55,0
2479.42,0
2482.3,1
2485.18,1
2488.06,2
2490.95,0
2493.83,0
2496.71,1
2499.6,1
2502.49,0
2505.38,0
2508.27,0
2511.16,0
2514.06,2
2516.95,1
2519.85,1
2522.74,3
2525.64,2
2528.54,3
2531.45,3
2534.35,1
2537.25,4
2540.16,1
2543.07,0
2545.97,0
2548.88,2
2551.8,3
2554.71,1
2557.62,0
2560.54,4
2563.45,1
2566.37,0
2569.29,3
2572.21,0
2575.13,2
2578.06,2
2580.98,2
2583.91,2
2586.84,1
2589.76,0
2592.69,0
2595.63,0
2598.56,1
2601.49,0
2604.43,1
2607.37,0
2610.3,1
2613.24,2
2616.19,2
2619.13,1
2622.07,0
2625.02,2
2627.96,1
2630.91,1
2633.86,2
2636.81,2
2639.76,0
2642.71,0
2645.67,1
2648.63,1
2651.58,1
2654.54,3
2657.5,4
2660.46,2
2663.43,1
2666.39,0
2669.35,1
2672.32,0
2675.29,0
2678.26,0
2681.23,1
2684.2,0
2687.18,0
2690.15,1
2693.13,1
2696.1,0
2699.08,2
2702.06,3
2705.05,0
2708.03,1
2711.01,0
2714,2
2716.99,1
2719.97,3
2722.96,1
2725.96,0
2728.95,2
2731.94,4
2734.94,1
2737.93,2
2740.93,0
2743.93,4
2746.93,0
2749.93,2
2752.94,1
2755.94,1
2758.95,0
2761.96,1
2764.96,1
2767.97,1
2770.99,0
2774,0
2777.01,0
2780.03,0
2783.05,1
2786.06,1
2789.08,1
2792.1,1
2795.13,0
2798.15,1
2801.18,0
2804.2,1
2807.23,1
2810.26,0
2813.29,0
2816.32,2
2819.35,1
2822.39,1
2825.42,0
2828.46,0
2831.5,1
2834.54,0
2837.58,1
2840.62,0
2843.67,2
2846.71,0
2849.76,0
2852.81,1
2855.86,0
2858.91,0
2861.96,1
2865.01,0
2868.07,0
2871.13,0
2874.18,1
2877.24,1
2880.3,0
2883.36,1
2886.43,2
2889.49,1
2892.56,0
2895.62,0
2898.69,0
2901.76,0
2904.83,0
2907.91,0
2910.98,0
2914.06,1
2917.13,0
2920.21,0
2923.29,0
2926.37,0
2929.45,1
2932.54,0
2935.62,0
2938.71,0
2941.79,0
2944.88,0
2947.97,0
2951.06,1
2954.16,0
2957.25,0
2960.35,0
2963.44,0
2966.54,0
2969.64,0
2972.74,0
2975.84,0
2978.95,0
2982.05,0
2985.16,0
2988.27,1
2991.38,1
2994.49,0
2997.6,0
3000.71,0
3003.83,0
3006.94,0
3010.06,0
3013.18,0
3016.3,0
3019.42,0
3022.54,0
3025.67,0
3028.79,1
3031.92,1
3035.05,0
3038.18,0
3041.31,0
3044.44,1
3047.57,0
3050.71,0
3053.84,1
3056.98,0
3060.12,0
3063.26,0
3066.4,0
3069.54,0
3072.69,0
3075.83,0
3078.98,1
3082.13,0
3085.28,0
3088.43,0
3091.58,0
3094.74,0
3097.89,0
3101.05,0
3104.21,0
3107.37,0
3110.53,0
3113.69,2
3116.85,0
3120.02,0
3123.18,0
3126.35,0
3129.52,0
3132.69,1
3135.86,0
3139.03,1
3142.21,1
3145.38,1
3148.56,0
3151.74,0
3154.92,0
3158.1,0
3161.28,1
3164.46,0
3167.65,0
3170.84,0
3174.02,0
3177.21,0
3180.4,0
3183.6,0
3186.79,0
3189.98,0
3193.18,0
3196.38,0
3199.57,1
3202.77,0
3205.98,0
3209.18,0
3212.38,0
3215.59,0
3218.79,0
3222,1
3225.21,0
3228.42,0
3231.64,0
3234.85,1
3238.06,0
3241.28,0
3244.5,0
3247.72,0
3250.94,0
3254.16,1
3257.38,0
3260.6,0
3263.83,1
3267.06,0
3270.29,0
3273.52,0
3276.75,0
3279.98,0
3283.21,0
3286.45,0
3289.69,0
3292.92,0
