Energy, Data
-8.1249,0
-6.88375,0
-5.64125,0
-4.39739,0
-3.15217,0
-1.9056,0
-0.65767,0
0.591613,0
1.84225,0
3.09425,0
4.3476,0
5.6023,0
6.85836,0
8.11578,0
9.37455,0
10.6347,0
11.8962,0
13.159,2
14.4232,46
15.6887,49
16.9556,49
18.2239,49
19.4935,42
20.7645,59
22.0368,57
23.3105,75
24.5855,71
25.8619,68
27.1397,69
28.4188,73
29.6993,72
30.9811,61
32.2642,79
33.5488,75
34.8347,68
36.1219,64
37.4105,71
38.7004,75
39.9917,79
41.2844,73
42.5784,72
43.8738,90
45.1705,77
46.4686,104
47.768,97
49.0688,93
50.371,103
51.6745,87
52.9794,81
54.2856,89
55.5931,114
56.9021,86
58.2123,98
59.524,110
60.837,102
62.1513,122
63.467,112
64.7841,133
66.1025,131
67.4223,166
68.7434,173
70.0659,191
71.3897,213
72.7149,197
74.0415,235
75.3694,246
76.6986,229
78.0293,261
79.3612,255
80.6946,253
82.0293,241
83.3653,237
84.7027,233
86.0414,217
87.3815,212
88.723,219
90.0658,186
91.41,212
92.7555,186
94.1024,165
95.4506,185
96.8002,163
98.1512,184
99.5035,165
100.857,145
102.212,174
103.569,149
104.926,139
106.285,153
107.646,148
109.008,147
110.371,161
111.735,159
113.101,176
114.468,155
115.837,175
117.207,167
118.578,161
119.951,163
121.325,195
122.7,168
124.077,177
125.455,174
126.834,189
128.215,151
129.597,194
130.981,145
132.365,156
133.752,149
135.139,169
136.528,182
137.918,154
139.31,151
140.703,137
142.097,138
143.493,155
144.89,140
146.288,146
147.688,134
149.089,135
150.492,148
151.896,138
153.301,116
154.707,134
156.115,120
157.524,135
158.935,108
160.347,143
161.76,119
163.175,105
164.591,133
166.008,121
167.427,141
168.847,121
170.269,143
171.691,132
173.115,140
174.541,130
175.968,133
177.396,131
178.826,129
180.257,119
181.689,140
183.122,121
184.557,140
185.994,149
187.432,130
188.871,144
190.311,113
191.753,143
193.196,131
194.64,139
196.086,138
197.533,142
198.982,149
200.432,138
201.883,149
203.336,156
204.79,142
206.245,151
207.702,131
209.16,125
210.619,146
212.08,132
213.542,148
215.005,149
216.47,124
217.936,140
219.404,137
220.873,153
222.343,144
223.815,126
225.288,103
226.762,122
228.238,164
229.715,145
231.193,128
232.673,115
234.154,130
235.636,116
237.12,119
238.605,133
240.092,138
241.58,123
243.069,146
244.559,110
246.051,124
247.545,112
249.039,120
250.535,132
252.033,112
253.531,108
255.031,138
256.533,111
258.036,122
259.54,124
261.045,97
262.552,115
264.06,132
265.57,110
267.081,118
268.593,114
270.106,116
271.621,113
273.138,127
274.655,106
276.174,113
277.695,125
279.217,119
280.74,129
282.264,129
283.79,133
285.317,106
286.846,91
288.376,106
289.907,113
291.439,122
292.973,128
294.509,138
296.045,101
297.583,132
299.123,134
300.663,120
302.206,118
303.749,116
305.294,104
306.84,131
308.387,113
309.936,130
311.487,115
313.038,106
314.591,108
316.145,110
317.701,106
319.258,85
320.816,99
322.376,105
323.937,83
325.499,90
327.063,104
328.628,94
330.195,84
331.763,80
333.332,89
334.902,81
336.474,82
338.048,81
339.622,89
341.198,65
342.776,64
344.354,90
345.934,82
347.516,78
349.098,88
350.682,72
352.268,65
353.855,76
355.443,78
357.033,76
358.623,84
360.216,66
361.809,87
363.404,69
365,76
366.598,60
368.197,68
369.798,77
371.399,69
373.002,70
374.607,67
376.213,53
377.82,59
379.428,67
381.038,65
382.649,60
384.262,70
385.876,72
387.491,59
389.108,69
390.726,59
392.345,54
393.966,67
395.588,74
397.211,60
398.836,66
400.462,65
402.09,56
403.718,61
405.349,50
406.98,74
408.613,54
410.247,50
411.883,45
413.52,64
415.158,53
416.798,62
418.439,59
420.081,56
421.725,69
423.37,59
425.017,56
426.665,49
428.314,64
429.964,58
431.616,55
433.269,62
434.924,56
436.58,57
438.237,60
439.896,41
441.556,71
443.217,55
444.88,42
446.544,63
448.21,68
449.876,59
451.544,61
453.214,73
454.885,55
456.557,76
458.231,80
459.906,79
461.582,99
463.259,99
464.938,111
466.619,111
468.301,140
469.984,140
471.668,167
473.354,187
475.041,197
476.729,204
478.419,243
480.11,297
481.803,251
483.497,317
485.192,329
486.889,362
488.587,383
490.286,371
491.987,398
493.689,421
495.392,434
497.097,460
498.803,452
500.51,484
502.219,480
503.929,505
505.641,479
507.354,525
509.068,469
510.784,488
512.501,465
514.219,488
515.939,436
517.66,439
519.382,437
521.106,416
522.831,411
524.557,407
526.285,367
528.014,312
529.745,322
531.477,317
533.21,292
534.944,281
536.68,271
538.418,216
540.156,219
541.896,204
543.638,209
545.38,191
547.124,160
548.87,176
550.617,126
552.365,139
554.114,118
555.865,112
557.617,116
559.371,98
561.126,106
562.882,110
564.639,101
566.398,98
568.159,88
569.92,98
571.683,63
573.448,69
575.214,66
576.981,66
578.749,66
580.519,60
582.29,58
584.063,53
585.837,56
587.612,49
589.388,57
591.166,43
592.946,58
594.726,40
596.508,44
598.292,43
600.076,39
601.863,38
603.65,48
605.439,38
607.229,40
609.02,32
610.813,37
612.608,42
614.403,33
616.2,39
617.998,46
619.798,36
621.599,31
623.401,33
625.205,32
627.01,43
628.816,37
630.624,43
632.433,30
634.244,29
636.056,37
637.869,33
639.683,39
641.499,41
643.317,36
645.135,29
646.955,36
648.777,41
650.599,32
652.423,19
654.249,36
656.075,31
657.904,41
659.733,39
661.564,33
663.396,44
665.229,41
667.064,33
668.901,33
670.738,33
672.577,37
674.417,22
676.259,36
678.102,29
679.947,40
681.792,36
683.639,34
685.488,34
687.338,27
689.189,36
691.041,30
692.895,38
694.75,33
696.607,38
698.465,33
700.324,31
702.185,30
704.047,37
705.91,39
707.775,24
709.641,29
711.508,41
713.377,27
715.247,35
717.119,29
718.991,26
720.866,25
722.741,29
724.618,39
726.496,40
728.376,36
730.257,27
732.139,35
734.023,33
735.908,37
737.794,30
739.682,25
741.571,22
743.462,21
745.354,25
747.247,32
749.141,17
751.037,26
752.934,31
754.833,23
756.733,22
758.634,27
760.537,30
762.441,23
764.346,32
766.253,31
768.161,37
770.071,38
771.981,27
773.893,25
775.807,43
777.722,24
779.638,25
781.556,35
783.475,24
785.395,28
787.316,30
789.24,32
791.164,19
793.09,27
795.017,23
796.945,28
798.875,26
800.806,29
802.738,26
804.672,29
806.607,25
808.544,35
810.482,38
812.421,30
814.362,29
816.304,27
818.247,38
820.192,38
822.138,27
824.085,32
826.034,19
827.984,20
829.936,35
831.888,35
833.842,19
835.798,24
837.755,26
839.713,33
841.673,20
843.634,34
845.596,36
847.56,31
849.525,31
851.491,28
853.459,28
855.428,34
857.398,43
859.37,25
861.343,29
863.318,29
865.294,20
867.271,24
869.249,31
871.229,33
873.211,32
875.193,36
877.177,31
879.163,37
881.149,33
883.137,32
885.127,34
887.117,25
889.11,34
891.103,26
893.098,33
895.094,38
897.092,20
899.091,33
901.091,37
903.093,36
905.096,37
907.1,26
909.105,33
911.113,34
913.121,29
915.131,37
917.142,28
919.154,31
921.168,34
923.183,24
925.2,27
927.218,24
929.237,46
931.257,26
933.279,24
935.303,34
937.327,35
939.353,25
941.381,35
943.409,37
945.44,29
947.471,46
949.504,27
951.538,31
953.573,28
955.61,40
957.649,22
959.688,38
961.729,39
963.771,31
965.815,32
967.86,36
969.906,38
971.954,25
974.003,24
976.054,27
978.105,42
980.158,23
982.213,29
984.269,36
986.326,25
988.384,27
990.444,39
992.506,25
994.568,35
996.632,35
998.698,33
1000.76,43
1002.83,26
1004.9,29
1006.97,32
1009.04,24
1011.12,27
1013.19,29
1015.27,26
1017.35,31
1019.43,18
1021.51,26
1023.59,23
1025.67,17
1027.75,19
1029.84,23
1031.93,21
1034.02,27
1036.11,15
1038.2,23
1040.29,22
1042.38,28
1044.48,22
1046.57,26
1048.67,27
1050.77,29
1052.87,19
1054.97,19
1057.08,20
1059.18,25
1061.29,18
1063.4,22
1065.5,12
1067.61,16
1069.73,18
1071.84,21
1073.95,10
1076.07,26
1078.18,26
1080.3,14
1082.42,25
1084.54,20
1086.67,14
1088.79,19
1090.91,15
1093.04,14
1095.17,17
1097.3,16
1099.43,28
1101.56,16
1103.69,20
1105.83,17
1107.96,18
1110.1,7
1112.24,16
1114.38,11
1116.52,15
1118.66,19
1120.81,12
1122.95,14
1125.1,17
1127.25,12
1129.4,15
1131.55,22
1133.7,15
1135.85,14
1138.01,10
1140.16,12
1142.32,36
1144.48,13
1146.64,10
1148.8,18
1150.96,16
1153.13,12
1155.29,12
1157.46,16
1159.63,20
1161.8,14
1163.97,19
1166.14,16
1168.32,8
1170.49,16
1172.67,18
1174.85,19
1177.02,16
1179.2,13
1181.39,11
1183.57,19
1185.75,23
1187.94,11
1190.13,24
1192.32,18
1194.51,28
1196.7,30
1198.89,29
1201.08,39
1203.28,30
1205.48,21
1207.68,27
1209.88,40
1212.08,38
1214.28,36
1216.48,43
1218.69,42
1220.89,43
1223.1,60
1225.31,61
1227.52,54
1229.73,59
1231.94,53
1234.16,61
1236.38,68
1238.59,78
1240.81,86
1243.03,80
1245.25,71
1247.47,73
1249.7,60
1251.92,67
1254.15,69
1256.38,72
1258.61,60
1260.84,84
1263.07,79
1265.3,70
1267.54,89
1269.77,82
1272.01,76
1274.25,64
1276.49,67
1278.73,72
1280.98,80
1283.22,72
1285.47,68
1287.71,67
1289.96,66
1292.21,74
1294.46,80
1296.71,70
1298.97,70
1301.22,60
1303.48,71
1305.74,62
1308,52
1310.26,63
1312.52,58
1314.78,59
1317.05,57
1319.31,48
1321.58,45
1323.85,45
1326.12,42
1328.39,46
1330.66,47
1332.94,43
1335.21,39
1337.49,31
1339.77,40
1342.05,37
1344.33,45
1346.61,38
1348.89,37
1351.18,38
1353.46,28
1355.75,30
1358.04,25
1360.33,33
1362.62,31
1364.92,17
1367.21,26
1369.51,14
1371.8,24
1374.1,26
1376.4,23
1378.7,23
1381.01,26
1383.31,26
1385.61,20
1387.92,26
1390.23,29
1392.54,14
1394.85,21
1397.16,21
1399.47,18
1401.79,14
1404.11,21
1406.42,19
1408.74,14
1411.06,13
1413.38,17
1415.71,16
1418.03,18
1420.36,13
1422.68,14
1425.01,23
1427.34,18
1429.67,9
1432,16
1434.34,14
1436.67,17
1439.01,18
1441.35,11
1443.69,15
1446.03,13
1448.37,7
1450.71,12
1453.06,7
1455.4,15
1457.75,14
1460.1,8
1462.45,10
1464.8,15
1467.15,8
1469.51,13
1471.86,17
1474.22,10
1476.58,11
1478.94,11
1481.3,9
1483.66,16
1486.02,10
1488.39,17
1490.75,10
1493.12,12
1495.49,10
1497.86,10
1500.23,4
1502.61,9
1504.98,9
1507.36,10
1509.73,7
1512.11,6
1514.49,12
1516.87,9
1519.26,12
1521.64,8
1524.02,10
1526.41,6
1528.8,8
1531.19,7
1533.58,6
1535.97,6
1538.36,4
1540.76,6
1543.16,7
1545.55,12
1547.95,9
1550.35,10
1552.75,10
1555.16,11
1557.56,11
1559.97,5
1562.37,8
1564.78,10
1567.19,5
1569.6,9
1572.01,9
1574.43,4
1576.84,8
1579.26,7
1581.68,4
1584.1,2
1586.52,3
1588.94,7
1591.36,6
1593.79,5
1596.21,8
1598.64,9
1601.07,3
1603.5,4
1605.93,4
1608.36,4
1610.8,5
1613.23,1
1615.67,4
1618.11,7
1620.55,5
1622.99,3
1625.43,2
1627.87,3
1630.32,4
1632.76,5
1635.21,5
1637.66,1
1640.11,4
1642.56,0
1645.01,5
1647.47,0
1649.92,0
1652.38,7
1654.84,4
1657.3,5
1659.76,0
1662.22,4
1664.69,4
1667.15,4
1669.62,4
1672.09,1
1674.56,2
1677.03,1
1679.5,6
1681.97,4
1684.45,3
1686.92,3
1689.4,3
1691.88,1
1694.36,0
1696.84,1
1699.32,2
1701.81,6
1704.29,4
1706.78,3
1709.27,2
1711.76,2
1714.25,3
1716.74,2
1719.24,7
1721.73,2
1724.23,2
1726.72,2
1729.22,3
1731.72,2
1734.23,0
1736.73,3
1739.23,6
1741.74,3
1744.25,3
1746.76,3
1749.27,6
1751.78,1
1754.29,5
1756.8,4
1759.32,1
1761.84,3
1764.35,6
1766.87,4
1769.39,3
1771.92,3
1774.44,2
1776.96,6
1779.49,2
1782.02,2
1784.55,0
1787.08,4
1789.61,2
1792.14,5
1794.68,6
1797.21,1
1799.75,4
1802.29,3
1804.83,1
1807.37,4
1809.91,4
1812.45,1
1815,1
1817.55,4
1820.09,4
1822.64,2
1825.19,3
1827.75,4
1830.3,6
1832.85,4
1835.41,4
1837.97,4
1840.53,1
1843.09,2
1845.65,2
1848.21,3
1850.78,0
1853.34,4
1855.91,2
1858.48,1
1861.05,0
1863.62,2
1866.19,4
1868.76,2
1871.34,2
1873.91,1
1876.49,1
1879.07,2
1881.65,3
1884.23,1
1886.82,5
1889.4,3
1891.99,1
1894.57,5
1897.16,1
1899.75,2
1902.34,2
1904.94,3
1907.53,2
1910.13,5
1912.72,1
1915.32,2
1917.92,3
1920.52,5
1923.12,1
1925.73,1
1928.33,4
1930.94,0
1933.54,1
1936.15,1
1938.76,2
1941.38,4
1943.99,0
1946.6,3
1949.22,4
1951.84,1
1954.45,2
1957.07,0
1959.69,4
1962.32,1
1964.94,2
1967.57,0
1970.19,4
1972.82,1
1975.45,2
1978.08,0
1980.71,3
1983.35,3
1985.98,0
1988.62,0
1991.25,2
1993.89,0
1996.53,0
1999.17,0
2001.82,7
2004.46,1
2007.11,0
2009.75,2
2012.4,2
2015.05,5
2017.7,1
2020.35,2
2023.01,1
2025.66,2
2028.32,1
2030.98,1
2033.64,2
2036.3,5
2038.96,0
2041.62,2
2044.29,4
2046.95,3
2049.62,3
2052.29,1
2054.96,3
2057.63,1
2060.3,1
2062.97,1
2065.65,0
2068.33,0
2071,4
2073.68,1
2076.36,2
2079.05,1
2081.73,3
2084.42,2
2087.1,0
2089.79,2
2092.48,1
2095.17,4
2097.86,0
2100.55,0
2103.25,3
2105.94,5
2108.64,2
2111.34,3
2114.04,2
2116.74,2
2119.44,0
2122.15,0
2124.85,2
2127.56,2
2130.26,1
2132.97,3
2135.68,0
2138.4,1
2141.11,2
2143.82,2
2146.54,3
2149.26,1
2151.98,0
2154.7,0
2157.42,2
2160.14,4
2162.86,0
2165.59,2
2168.32,1
2171.05,1
2173.77,4
2176.51,1
2179.24,0
2181.97,1
2184.71,2
2187.44,2
2190.18,1
2192.92,2
2195.66,0
2198.4,0
2201.15,1
2203.89,4
2206.64,0
2209.38,0
2212.13,0
2214.88,2
2217.63,3
2220.38,4
2223.14,0
2225.89,0
2228.65,0
2231.41,2
2234.17,2
2236.93,1
2239.69,1
2242.45,4
2245.22,3
2247.99,1
2250.75,1
2253.52,0
2256.29,2
2259.06,3
2261.84,3
2264.61,1
2267.39,1
2270.16,1
2272.94,1
2275.72,0
2278.5,2
2281.28,1
2284.07,0
2286.85,0
2289.64,2
2292.43,2
2295.22,1
2298.01,2
2300.8,2
2303.59,1
2306.39,0
2309.18,1
2311.98,3
2314.78,2
2317.58,0
2320.38,1
2323.18,3
2325.99,2
2328.79,0
2331.6,0
2334.41,2
2337.22,0
2340.03,0
2342.84,0
2345.65,2
2348.47,0
2351.29,0
2354.1,2
2356.92,1
2359.74,0
2362.56,1
2365.39,1
2368.21,0
2371.04,3
2373.86,0
2376.69,2
2379.52,2
2382.35,1
2385.19,3
2388.02,0
2390.86,1
2393.69,1
2396.53,1
2399.37,1
2402.21,1
2405.05,0
2407.9,0
2410.74,1
2413.59,0
2416.43,0
2419.28,3
2422.13,0
2424.99,4
2427.84,0
2430.69,0
2433.55,0
2436.41,2
2439.26,0
2442.12,0
2444.98,0
2447.85,0
2450.71,2
2453.58,0
2456.44,0
2459.31,1
2462.18,2
2465.05,0
2467.92,0
2470.79,0
2473.67,2
2476.55,1
2479.42,3
2482.3,2
2485.18,2
2488.06,0
2490.95,2
2493.83,0
2496.71,1
2499.6,2
2502.49,0
2505.38,2
2508.27,1
2511.16,1
2514.06,2
2516.95,1
2519.85,0
2522.74,1
2525.64,2
2528.54,1
2531.45,0
2534.35,1
2537.25,0
2540.16,4
2543.07,2
2545.97,0
2548.88,1
2551.8,2
2554.71,1
2557.62,1
2560.54,1
2563.45,0
2566.37,1
2569.29,2
2572.21,1
2575.13,1
2578.06,0
2580.98,3
2583.91,0
2586.84,3
2589.76,0
2592.69,3
2595.63,3
2598.56,1
2601.49,1
2604.43,3
2607.37,1
2610.3,3
2613.24,3
2616.19,3
2619.13,1
2622.07,2
2625.02,1
2627.96,0
2630.91,2
2633.86,0
2636.81,0
2639.76,2
2642.71,0
2645.67,0
2648.63,0
2651.58,1
2654.54,0
2657.5,2
2660.46,0
2663.43,1
2666.39,3
2669.35,1
2672.32,2
2675.29,0
2678.26,1
2681.23,1
2684.2,0
2687.18,1
2690.15,0
2693.13,0
2696.1,1
2699.08,2
2702.06,1
2705.05,2
2708.03,1
2711.01,2
2714,1
2716.99,1
2719.97,0
2722.96,2
2725.96,0
2728.95,0
2731.94,1
2734.94,0
2737.93,1
2740.93,1
2743.93,1
2746.93,1
2749.93,2
2752.94,0
2755.94,0
2758.95,1
2761.96,2
2764.96,0
2767.97,1
2770.99,0
2774,1
2777.01,1
2780.03,0
2783.05,0
2786.06,1
2789.08,1
2792.1,0
2795.13,0
2798.15,1
2801.18,1
2804.2,2
2807.23,1
2810.26,0
2813.29,1
2816.32,0
2819.35,0
2822.39,0
2825.42,1
2828.46,0
2831.5,1
2834.54,1
2837.58,2
2840.62,0
2843.67,0
2846.71,0
2849.76,1
2852.81,2
2855.86,2
2858.91,0
2861.96,0
2865.01,0
2868.07,0
2871.13,0
2874.18,0
2877.24,0
2880.3,0
2883.36,0
2886.43,0
2889.49,0
2892.56,0
2895.62,0
2898.69,0
2901.76,0
2904.83,0
2907.91,0
2910.98,0
2914.06,0
2917.13,1
2920.21,1
2923.29,1
2926.37,3
2929.45,0
2932.54,0
2935.62,0
2938.71,0
2941.79,0
2944.88,0
2947.97,0
2951.06,0
2954.16,0
2957.25,0
2960.35,0
2963.44,1
2966.54,0
2969.64,0
2972.74,0
2975.84,0
2978.95,1
2982.05,0
2985.16,0
2988.27,1
2991.38,0
2994.49,0
2997.6,0
3000.71,0
3003.83,1
3006.94,0
3010.06,0
3013.18,0
3016.3,0
3019.42,0
3022.54,0
3025.67,0
3028.79,0
3031.92,0
3035.05,1
3038.18,0
3041.31,0
3044.44,0
3047.57,0
3050.71,0
3053.84,0
3056.98,0
3060.12,0
3063.26,0
3066.4,0
3069.54,0
3072.69,0
3075.83,0
3078.98,0
3082.13,0
3085.28,0
3088.43,1
3091.58,1
3094.74,0
3097.89,0
3101.05,0
3104.21,0
3107.37,1
3110.53,0
3113.69,0
3116.85,0
3120.02,0
3123.18,0
3126.35,0
3129.52,0
3132.69,0
3135.86,0
3139.03,0
3142.21,0
3145.38,0
3148.56,0
3151.74,0
3154.92,0
3158.1,0
3161.28,0
3164.46,0
3167.65,0
3170.84,0
3174.02,1
3177.21,0
3180.4,0
3183.6,0
3186.79,1
3189.98,1
3193.18,1
3196.38,0
3199.57,1
3202.77,0
3205.98,0
3209.18,1
3212.38,0
3215.59,0
3218.79,0
3222,0
3225.21,0
3228.42,1
3231.64,0
3234.85,1
3238.06,1
3241.28,0
3244.5,0
3247.72,0
3250.94,1
3254.16,0
3257.38,0
3260.6,0
3263.83,0
3267.06,0
3270.29,0
3273.52,0
3276.75,0
3279.98,0
3283.21,0
3286.45,1
3289.69,0
3292.92,0
3296.16,1
3299.4,0
3302.64,1
3305.89,0
3309.13,1
3312.38,0
