Energy, Data
0,0
1.46556,0
2.93112,0
4.39668,0
5.86224,0
7.3278,0
8.79336,0
10.2589,0
11.7245,0
13.19,0
14.6556,0
16.1212,0
17.5867,0
19.0523,0
20.5178,1
21.9834,0
23.4489,0
24.9145,6
26.3801,156
27.8456,178
29.3112,179
30.7767,199
32.2423,210
33.7079,306
35.1734,396
36.639,536
38.1045,869
39.5701,1146
41.0357,1410
42.5012,1686
43.9668,1657
45.4323,1531
46.8979,1276
48.3635,1092
49.829,771
51.2946,583
52.7601,443
54.2257,360
55.6913,296
57.1568,296
58.6224,261
60.0879,222
61.5535,268
63.0191,245
64.4846,214
65.9502,237
67.4157,234
68.8813,242
70.3468,238
71.8124,250
73.278,238
74.7435,231
76.2091,257
77.6746,273
79.1402,244
80.6058,281
82.0713,277
83.5369,303
85.0024,333
86.468,323
87.9336,367
89.3991,403
90.8647,472
92.3302,504
93.7958,493
95.2614,552
96.7269,531
98.1925,578
99.658,585
101.124,498
102.589,539
104.055,510
105.52,474
106.986,496
108.451,473
109.917,431
111.383,393
112.848,396
114.314,372
115.779,340
117.245,362
118.71,334
120.176,344
121.641,325
123.107,335
124.573,315
126.038,325
127.504,309
128.969,318
130.435,321
131.9,354
133.366,324
134.831,325
136.297,335
137.763,335
139.228,322
140.694,337
142.159,348
143.625,335
145.09,322
146.556,363
148.021,359
149.487,377
150.953,334
152.418,343
153.884,345
155.349,329
156.815,375
158.28,360
159.746,352
161.212,321
162.677,356
164.143,358
165.608,302
167.074,351
168.539,310
170.005,343
171.47,360
172.936,322
174.402,352
175.867,329
177.333,314
178.798,298
180.264,342
181.729,317
183.195,317
184.66,301
186.126,319
187.592,312
189.057,289
190.523,306
191.988,312
193.454,343
194.919,338
196.385,303
197.851,338
199.316,330
200.782,320
202.247,348
203.713,390
205.178,369
206.644,345
208.109,402
209.575,376
211.041,412
212.506,360
213.972,417
215.437,448
216.903,439
218.368,444
219.834,404
221.299,415
222.765,458
224.231,432
225.696,424
227.162,416
228.627,426
230.093,429
231.558,414
233.024,433
234.49,431
235.955,482
237.421,417
238.886,411
240.352,454
241.817,418
243.283,423
244.748,404
246.214,430
247.68,376
249.145,438
250.611,405
252.076,420
253.542,394
255.007,400
256.473,408
257.938,448
259.404,390
260.87,407
262.335,412
263.801,378
265.266,379
266.732,374
268.197,397
269.663,364
271.128,376
272.594,340
274.06,393
275.525,377
276.991,353
278.456,386
279.922,343
281.387,363
282.853,362
284.319,357
285.784,389
287.25,350
288.715,349
290.181,385
291.646,394
293.112,388
294.577,412
296.043,353
297.509,361
298.974,343
300.44,332
301.905,339
303.371,313
304.836,324
306.302,383
307.767,394
309.233,309
310.699,330
312.164,332
313.63,337
315.095,348
316.561,338
318.026,350
319.492,326
320.957,340
322.423,332
323.889,327
325.354,341
326.82,310
328.285,320
329.751,336
331.216,315
332.682,314
334.148,370
335.613,316
337.079,327
338.544,324
340.01,304
341.475,301
342.941,335
344.406,315
345.872,300
347.338,318
348.803,320
350.269,313
351.734,340
353.2,315
354.665,305
356.131,306
357.596,321
359.062,328
360.528,328
361.993,334
363.459,297
364.924,332
366.39,313
367.855,310
369.321,332
370.787,319
372.252,287
373.718,325
375.183,313
376.649,308
378.114,291
379.58,305
381.045,311
382.511,301
383.977,308
385.442,345
386.908,327
388.373,283
389.839,321
391.304,310
392.77,311
394.235,320
395.701,313
397.167,300
398.632,342
400.098,324
401.563,318
403.029,309
404.494,344
405.96,313
407.426,327
408.891,333
410.357,302
411.822,313
413.288,316
414.753,334
416.219,336
417.684,296
419.15,345
420.616,353
422.081,333
423.547,343
425.012,350
426.478,306
427.943,353
429.409,362
430.874,330
432.34,328
433.806,316
435.271,365
436.737,339
438.202,346
439.668,325
441.133,344
442.599,312
444.064,320
445.53,303
446.996,329
448.461,319
449.927,336
451.392,322
452.858,312
454.323,315
455.789,290
457.255,312
458.72,302
460.186,275
461.651,291
463.117,270
464.582,268
466.048,253
467.513,264
468.979,239
470.445,216
471.91,179
473.376,202
474.841,210
476.307,196
477.772,202
479.238,201
480.703,205
482.169,205
483.635,169
485.1,164
486.566,182
488.031,174
489.497,183
490.962,164
492.428,185
493.893,172
495.359,190
496.825,145
498.29,151
499.756,139
501.221,156
502.687,138
504.152,152
505.618,148
507.084,118
508.549,152
510.015,138
511.48,118
512.946,139
514.411,128
515.877,144
517.342,131
518.808,122
520.274,125
521.739,114
523.205,122
524.67,109
526.136,123
527.601,86
529.067,117
530.532,111
531.998,104
533.464,120
534.929,106
536.395,103
537.86,99
539.326,101
540.791,93
542.257,104
543.723,104
545.188,112
546.654,108
548.119,100
549.585,105
551.05,110
552.516,110
553.981,88
555.447,91
556.913,93
558.378,85
559.844,91
561.309,99
562.775,117
564.24,96
565.706,94
567.171,100
568.637,98
570.103,83
571.568,82
573.034,91
574.499,96
575.965,112
577.43,119
578.896,111
580.362,112
581.827,105
583.293,141
584.758,131
586.224,149
587.689,167
589.155,203
590.62,203
592.086,240
593.552,262
595.017,305
596.483,334
597.948,355
599.414,430
600.879,492
602.345,516
603.81,555
605.276,621
606.742,688
608.207,765
609.673,906
611.138,896
612.604,941
614.069,1080
615.535,1157
617,1296
618.466,1331
619.932,1351
621.397,1471
622.863,1482
624.328,1590
625.794,1587
627.259,1684
628.725,1661
630.191,1694
631.656,1763
633.122,1772
634.587,1861
636.053,1736
637.518,1742
638.984,1824
640.449,1781
641.915,1729
643.381,1658
644.846,1698
646.312,1580
647.777,1597
649.243,1500
650.708,1439
652.174,1347
653.639,1296
655.105,1262
656.571,1267
658.036,1202
659.502,1103
660.967,1111
662.433,1001
663.898,1012
665.364,893
666.83,873
668.295,820
669.761,818
671.226,715
672.692,666
674.157,627
675.623,564
677.088,592
678.554,553
680.02,522
681.485,466
682.951,413
684.416,452
685.882,449
687.347,384
688.813,398
690.278,335
691.744,300
693.21,297
694.675,267
696.141,248
697.606,259
699.072,203
700.537,200
702.003,193
703.469,167
704.934,186
706.4,145
707.865,149
709.331,136
710.796,113
712.262,107
713.727,104
715.193,91
716.659,75
718.124,81
719.59,67
721.055,54
722.521,57
723.986,50
725.452,55
726.917,36
728.383,37
729.849,23
731.314,25
732.78,34
734.245,30
735.711,18
737.176,29
738.642,26
740.107,14
741.573,21
743.039,14
744.504,14
745.97,17
747.435,18
748.901,12
750.366,15
751.832,7
753.297,14
754.763,13
756.229,16
757.694,15
759.16,13
760.625,18
762.091,14
763.556,7
765.022,10
766.488,6
767.953,11
769.419,11
770.884,14
772.35,17
773.815,12
775.281,10
776.746,9
778.212,10
779.678,12
781.143,12
782.609,7
784.074,11
785.54,18
787.005,12
788.471,9
789.937,12
791.402,16
792.868,13
794.333,14
795.799,5
797.264,12
798.73,10
800.195,10
801.661,11
803.127,19
804.592,13
806.058,9
807.523,16
808.989,15
810.454,16
811.92,19
813.385,6
814.851,7
816.317,11
817.782,18
819.248,12
820.713,14
822.179,11
823.644,10
825.11,11
826.576,13
828.041,11
829.507,14
830.972,8
832.438,11
833.903,6
835.369,15
836.834,12
838.3,8
839.766,13
841.231,15
842.697,8
844.162,13
845.628,11
847.093,13
848.559,15
850.024,7
851.49,8
852.956,10
854.421,10
855.887,14
857.352,9
858.818,10
860.283,7
861.749,8
863.214,5
864.68,16
866.146,6
867.611,7
869.077,7
870.542,13
872.008,10
873.473,7
874.939,10
876.404,10
877.87,3
879.336,13
880.801,11
882.267,14
883.732,9
885.198,15
886.663,11
888.129,8
889.595,7
891.06,16
892.526,5
893.991,10
895.457,9
896.922,12
898.388,16
899.853,6
