Energy, Data
0,0
1.46556,0
2.93112,0
4.39668,0
5.86224,0
7.3278,0
8.79336,0
10.2589,0
11.7245,0
13.19,0
14.6556,0
16.1212,0
17.5867,0
19.0523,0
20.5178,0
21.9834,0
23.4489,0
24.9145,2
26.3801,46
27.8456,49
29.3112,49
30.7767,49
32.2423,42
33.7079,59
35.1734,57
36.639,75
38.1045,71
39.5701,68
41.0357,69
42.5012,73
43.9668,72
45.4323,61
46.8979,79
48.3635,75
49.829,68
51.2946,64
52.7601,71
54.2257,75
55.6913,79
57.1568,73
58.6224,72
60.0879,90
61.5535,77
63.0191,104
64.4846,97
65.9502,93
67.4157,103
68.8813,87
70.3468,81
71.8124,89
73.278,114
74.7435,86
76.2091,98
77.6746,110
79.1402,102
80.6058,122
82.0713,112
83.5369,133
85.0024,131
86.468,166
87.9336,173
89.3991,191
90.8647,213
92.3302,197
93.7958,235
95.2614,246
96.7269,229
98.1925,261
99.658,255
101.124,253
102.589,241
104.055,237
105.52,233
106.986,217
108.451,212
109.917,219
111.383,186
112.848,212
114.314,186
115.779,165
117.245,185
118.71,163
120.176,184
121.641,165
123.107,145
124.573,174
126.038,149
127.504,139
128.969,153
130.435,148
131.9,147
133.366,161
134.831,159
136.297,176
137.763,155
139.228,175
140.694,167
142.159,161
143.625,163
145.09,195
146.556,168
148.021,177
149.487,174
150.953,189
152.418,151
153.884,194
155.349,145
156.815,156
158.28,149
159.746,169
161.212,182
162.677,154
164.143,151
165.608,137
167.074,138
168.539,155
170.005,140
171.47,146
172.936,134
174.402,135
175.867,148
177.333,138
178.798,116
180.264,134
181.729,120
183.195,135
184.66,108
186.126,143
187.592,119
189.057,105
190.523,133
191.988,121
193.454,141
194.919,121
196.385,143
197.851,132
199.316,140
200.782,130
202.247,133
203.713,131
205.178,129
206.644,119
208.109,140
209.575,121
211.041,140
212.506,149
213.972,130
215.437,144
216.903,113
218.368,143
219.834,131
221.299,139
222.765,138
224.231,142
225.696,149
227.162,138
228.627,149
230.093,156
231.558,142
233.024,151
234.49,131
235.955,125
237.421,146
238.886,132
240.352,148
241.817,149
243.283,124
244.748,140
246.214,137
247.68,153
249.145,144
250.611,126
252.076,103
253.542,122
255.007,164
256.473,145
257.938,128
259.404,115
260.87,130
262.335,116
263.801,119
265.266,133
266.732,138
268.197,123
269.663,146
271.128,110
272.594,124
274.06,112
275.525,120
276.991,132
278.456,112
279.922,108
281.387,138
282.853,111
284.319,122
285.784,124
287.25,97
288.715,115
290.181,132
291.646,110
293.112,118
294.577,114
296.043,116
297.509,113
298.974,127
300.44,106
301.905,113
303.371,125
304.836,119
306.302,129
307.767,129
309.233,133
310.699,106
312.164,91
313.63,106
315.095,113
316.561,122
318.026,128
319.492,138
320.957,101
322.423,132
323.889,134
325.354,120
326.82,118
328.285,116
329.751,104
331.216,131
332.682,113
334.148,130
335.613,115
337.079,106
338.544,108
340.01,110
341.475,106
342.941,85
344.406,99
345.872,105
347.338,83
348.803,90
350.269,104
351.734,94
353.2,84
354.665,80
356.131,89
357.596,81
359.062,82
360.528,81
361.993,89
363.459,65
364.924,64
366.39,90
367.855,82
369.321,78
370.787,88
372.252,72
373.718,65
375.183,76
376.649,78
378.114,76
379.58,84
381.045,66
382.511,87
383.977,69
385.442,76
386.908,60
388.373,68
389.839,77
391.304,69
392.77,70
394.235,67
395.701,53
397.167,59
398.632,67
400.098,65
401.563,60
403.029,70
404.494,72
405.96,59
407.426,69
408.891,59
410.357,54
411.822,67
413.288,74
414.753,60
416.219,66
417.684,65
419.15,56
420.616,61
422.081,50
423.547,74
425.012,54
426.478,50
427.943,45
429.409,64
430.874,53
432.34,62
433.806,59
435.271,56
436.737,69
438.202,59
439.668,56
441.133,49
442.599,64
444.064,58
445.53,55
446.996,62
448.461,56
449.927,57
451.392,60
452.858,41
454.323,71
455.789,55
457.255,42
458.72,63
460.186,68
461.651,59
463.117,61
464.582,73
466.048,55
467.513,76
468.979,80
470.445,79
471.91,99
473.376,99
474.841,111
476.307,111
477.772,140
479.238,140
480.703,167
482.169,187
483.635,197
485.1,204
486.566,243
488.031,297
489.497,251
490.962,317
492.428,329
493.893,362
495.359,383
496.825,371
498.29,398
499.756,421
501.221,434
502.687,460
504.152,452
505.618,484
507.084,480
508.549,505
510.015,479
511.48,525
512.946,469
514.411,488
515.877,465
517.342,488
518.808,436
520.274,439
521.739,437
523.205,416
524.67,411
526.136,407
527.601,367
529.067,312
530.532,322
531.998,317
533.464,292
534.929,281
536.395,271
537.86,216
539.326,219
540.791,204
542.257,209
543.723,191
545.188,160
546.654,176
548.119,126
549.585,139
551.05,118
552.516,112
553.981,116
555.447,98
556.913,106
558.378,110
559.844,101
561.309,98
562.775,88
564.24,98
565.706,63
567.171,69
568.637,66
570.103,66
571.568,66
573.034,60
574.499,58
575.965,53
577.43,56
578.896,49
580.362,57
581.827,43
583.293,58
584.758,40
586.224,44
587.689,43
589.155,39
590.62,38
592.086,48
593.552,38
595.017,40
596.483,32
597.948,37
599.414,42
600.879,33
602.345,39
603.81,46
605.276,36
606.742,31
608.207,33
609.673,32
611.138,43
612.604,37
614.069,43
615.535,30
617,29
618.466,37
619.932,33
621.397,39
622.863,41
624.328,36
625.794,29
627.259,36
628.725,41
630.191,32
631.656,19
633.122,36
634.587,31
636.053,41
637.518,39
638.984,33
640.449,44
641.915,41
643.381,33
644.846,33
646.312,33
647.777,37
649.243,22
650.708,36
652.174,29
653.639,40
655.105,36
656.571,34
658.036,34
659.502,27
660.967,36
662.433,30
663.898,38
665.364,33
666.83,38
668.295,33
669.761,31
671.226,30
672.692,37
674.157,39
675.623,24
677.088,29
678.554,41
680.02,27
681.485,35
682.951,29
684.416,26
685.882,25
687.347,29
688.813,39
690.278,40
691.744,36
693.21,27
694.675,35
696.141,33
697.606,37
699.072,30
700.537,25
702.003,22
703.469,21
704.934,25
706.4,32
707.865,17
709.331,26
710.796,31
712.262,23
713.727,22
715.193,27
716.659,30
718.124,23
719.59,32
721.055,31
722.521,37
723.986,38
725.452,27
726.917,25
728.383,43
729.849,24
731.314,25
732.78,35
734.245,24
735.711,28
737.176,30
738.642,32
740.107,19
741.573,27
743.039,23
744.504,28
745.97,26
747.435,29
748.901,26
750.366,29
751.832,25
753.297,35
754.763,38
756.229,30
757.694,29
759.16,27
760.625,38
762.091,38
763.556,27
765.022,32
766.488,19
767.953,20
769.419,35
770.884,35
772.35,19
773.815,24
775.281,26
776.746,33
778.212,20
779.678,34
781.143,36
782.609,31
784.074,31
785.54,28
787.005,28
788.471,34
789.937,43
791.402,25
792.868,29
794.333,29
795.799,20
797.264,24
798.73,31
800.195,33
801.661,32
803.127,36
804.592,31
806.058,37
807.523,33
808.989,32
810.454,34
811.92,25
813.385,34
814.851,26
816.317,33
817.782,38
819.248,20
820.713,33
822.179,37
823.644,36
825.11,37
826.576,26
828.041,33
829.507,34
830.972,29
832.438,37
833.903,28
835.369,31
836.834,34
838.3,24
839.766,27
841.231,24
842.697,46
844.162,26
845.628,24
847.093,34
848.559,35
850.024,25
851.49,35
852.956,37
854.421,29
855.887,46
857.352,27
858.818,31
860.283,28
861.749,40
863.214,22
864.68,38
866.146,39
867.611,31
869.077,32
870.542,36
872.008,38
873.473,25
874.939,24
876.404,27
877.87,42
879.336,23
880.801,29
882.267,36
883.732,25
885.198,27
886.663,39
888.129,25
889.595,35
891.06,35
892.526,33
893.991,43
895.457,26
896.922,29
898.388,32
899.853,24
901.319,27
902.785,29
904.25,26
905.716,31
907.181,18
908.647,26
910.112,23
